timestamp,gpu_util_pct,mem_used_mib,power_w,temp_c
2026/04/25 11:04:33.008, 0, [N/A], 11.48, 49
2026/04/25 11:04:38.033, 0, [N/A], 11.40, 48
2026/04/25 11:04:43.059, 0, [N/A], 11.33, 48
2026/04/25 11:04:48.085, 0, [N/A], 11.34, 48
2026/04/25 11:04:53.110, 0, [N/A], 11.40, 48
2026/04/25 11:04:58.149, 96, [N/A], 22.69, 52
2026/04/25 11:05:03.196, 96, [N/A], 45.60, 57
2026/04/25 11:05:08.244, 96, [N/A], 45.87, 57
2026/04/25 11:05:13.299, 96, [N/A], 45.56, 60
2026/04/25 11:05:18.342, 96, [N/A], 46.93, 60
2026/04/25 11:05:23.381, 96, [N/A], 49.69, 64
2026/04/25 11:05:28.457, 96, [N/A], 46.11, 61
2026/04/25 11:05:33.573, 96, [N/A], 52.26, 59
2026/04/25 11:05:38.616, 96, [N/A], 54.08, 66
2026/04/25 11:05:43.676, 96, [N/A], 55.13, 65
2026/04/25 11:05:48.751, 96, [N/A], 54.67, 65
2026/04/25 11:05:53.841, 96, [N/A], 51.50, 63
2026/04/25 11:05:58.887, 96, [N/A], 54.46, 68
2026/04/25 11:06:03.948, 96, [N/A], 55.12, 66
2026/04/25 11:06:09.054, 95, [N/A], 41.52, 65
2026/04/25 11:06:14.102, 96, [N/A], 55.35, 67
2026/04/25 11:06:19.156, 96, [N/A], 53.73, 67
2026/04/25 11:06:24.187, 96, [N/A], 52.86, 64
2026/04/25 11:06:29.233, 96, [N/A], 54.08, 69
2026/04/25 11:06:34.294, 96, [N/A], 55.84, 71
2026/04/25 11:06:39.371, 96, [N/A], 54.09, 70
2026/04/25 11:06:44.445, 96, [N/A], 52.24, 66
2026/04/25 11:06:49.509, 96, [N/A], 54.53, 73
2026/04/25 11:06:54.582, 96, [N/A], 56.42, 72
2026/04/25 11:06:59.698, 96, [N/A], 54.45, 71
2026/04/25 11:07:04.750, 96, [N/A], 56.42, 72
2026/04/25 11:07:09.794, 96, [N/A], 54.04, 71
2026/04/25 11:07:14.823, 96, [N/A], 53.45, 68
2026/04/25 11:07:19.868, 96, [N/A], 55.00, 73
2026/04/25 11:07:24.934, 46, [N/A], 31.40, 66
2026/04/25 11:07:30.006, 96, [N/A], 59.18, 73
2026/04/25 11:07:35.054, 96, [N/A], 59.94, 76
2026/04/25 11:07:40.106, 96, [N/A], 55.41, 70
2026/04/25 11:07:45.152, 95, [N/A], 57.05, 74
2026/04/25 11:07:50.196, 96, [N/A], 57.19, 73
2026/04/25 11:07:55.238, 96, [N/A], 57.27, 72
2026/04/25 11:08:00.288, 96, [N/A], 61.25, 72
2026/04/25 11:08:05.372, 96, [N/A], 57.79, 69
2026/04/25 11:08:10.416, 96, [N/A], 55.52, 67
2026/04/25 11:08:15.472, 96, [N/A], 56.84, 77
2026/04/25 11:08:20.537, 96, [N/A], 56.90, 73
2026/04/25 11:08:25.589, 96, [N/A], 56.90, 71
2026/04/25 11:08:30.633, 96, [N/A], 58.37, 71
2026/04/25 11:08:35.696, 96, [N/A], 58.36, 73
2026/04/25 11:08:40.753, 48, [N/A], 33.26, 67
